ticker,date,mse,adj_close_future,adj_close_pred
A,2024-06-25,0.09122490378553597,134.44049072265625,134.13845611572265
A,2024-06-26,1.4066558652609684,132.8434600830078,134.02948532104492
A,2024-06-27,3.0566623304620704,130.55770874023438,132.3060400390625
A,2024-06-28,11.099366644076616,129.38987731933594,132.7214485168457
A,2024-07-01,34.117932340205805,127.16400146484375,133.00505722045898
A,2024-07-02,44.838127207244895,125.77999877929688,132.47612655639648
A,2024-07-03,43.06196033508532,126.12999725341797,132.6921585083008
AAL,2024-06-25,0.000506243133568237,11.130000114440918,11.152499961853028
AAL,2024-06-26,0.012387702992023124,11.119999885559082,11.23129994392395
AAL,2024-06-27,3.609476718794653e-06,11.279999732971191,11.278099870681762
AAL,2024-06-28,0.03214847741485739,11.329999923706055,11.150699958801269
AAL,2024-07-01,0.04713239774307343,11.039999961853027,11.257099933624268
AAL,2024-07-02,0.052075081914792695,11.050000190734863,11.278199844360351
AAL,2024-07-03,0.0011764967515660682,11.119999885559082,11.154299983978271
AAPL,2024-06-25,0.003316822097543365,209.07000732421875,209.1275991821289
AAPL,2024-06-26,11.66359341629898,213.25,209.8347996520996
AAPL,2024-06-27,4.918221904652176,214.10000610351562,211.88229965209962
AAPL,2024-06-28,0.7754649166349402,210.6199951171875,211.50059997558594
AAPL,2024-07-01,23.636128195632462,216.75,211.88829986572264
AAPL,2024-07-02,65.84518652156743,220.27000427246094,212.1554995727539
AAPL,2024-07-03,85.59586964697556,221.5500030517578,212.29819946289064
ABBV,2024-06-25,1.1129013706207467,169.1957244873047,170.2506658935547
ABBV,2024-06-26,0.5094482109480586,169.59207153320312,170.30582794189453
ABBV,2024-06-27,7.85349909189726,167.45175170898438,170.25416122436525
ABBV,2024-06-28,0.047388126675063806,169.95872497558594,170.17641311645508
ABBV,2024-07-01,2.8806334256334347,168.81918334960938,170.51642623901367
ABBV,2024-07-02,35.88907239923228,164.44932556152344,170.44007446289064
ABBV,2024-07-03,68.40780134869212,162.34861755371094,170.61951843261718
ABNB,2024-06-25,6.137526909077978,150.91000366210938,148.43260040283204
ABNB,2024-06-26,1.2490255444469214,150.0,148.88240188598633
ABNB,2024-06-27,24.28813204649369,151.61000061035156,146.68170150756836
ABNB,2024-06-28,4.006016665113011,151.6300048828125,149.6285012817383
ABNB,2024-07-01,8.336523071647516,151.6300048828125,148.74270111083985
ABNB,2024-07-02,74.5122163927316,154.33999633789062,145.70795043945313
ABNB,2024-07-03,12.411472232975147,152.72999572753906,149.20700378417968
ABT,2024-06-25,0.45370757270241385,104.93329620361328,105.60687438964844
ABT,2024-06-26,2.3533510310184287,104.3265151977539,105.86057876586914
ABT,2024-06-27,0.04952227607704775,104.09773254394531,103.87519653320312
ABT,2024-06-28,5.651688578614265,103.36164093017578,105.73896896362305
ABT,2024-07-01,6.699355831458393,102.65538024902344,105.24369163513184
ABT,2024-07-02,1.754983746920613,102.65538024902344,103.9801382446289
ABT,2024-07-03,16.01593719422254,101.78997802734375,105.79196968078614
ACGL,2024-06-25,0.025248577662650675,102.1500015258789,102.30889953613281
ACGL,2024-06-26,4.269609764662464,99.7699966430664,101.83630004882812
ACGL,2024-06-27,0.09759079123107155,101.0199966430664,100.70760139465332
ACGL,2024-06-28,0.7621302521672525,100.88999938964844,101.76300010681152
ACGL,2024-07-01,2.8554159024801726,100.6500015258789,102.339799118042
ACGL,2024-07-02,0.4609069627769272,100.0,100.67890129089355
ACGL,2024-07-03,22.041124431380293,97.6500015258789,102.34479911804199
ACN,2024-06-25,0.09650552334273658,305.82879638671875,306.1394497680664
ACN,2024-06-26,5.329968644619371,303.2899169921875,305.59858947753906
ACN,2024-06-27,340.0949981570819,301.86614990234375,283.424485168457
ACN,2024-06-28,1.7900093023704164,302.085205078125,303.4231173706055
ACN,2024-07-01,15.32023882116239,301.22894287109375,305.1430505371094
ACN,2024-07-02,472.99112223000594,302.50335693359375,280.7549978637695
ACN,2024-07-03,2.9523792870495544,304.41497802734375,302.69672912597656
ADBE,2024-06-25,10.959449853185221,526.8800048828125,523.5694989013672
ADBE,2024-06-26,11.983162873685638,528.6599731445312,525.1983026123047
ADBE,2024-06-27,566.4927900482575,546.760009765625,522.958900756836
ADBE,2024-06-28,1086.4456914709904,555.5399780273438,522.5787023925782
ADBE,2024-07-01,1275.0408121855262,560.010009765625,524.3022961425781
ADBE,2024-07-02,1812.7002673925422,567.7100219726562,525.1342041015625
ADBE,2024-07-03,2266.05733543778,570.1500244140625,522.5469012451172
ADI,2024-06-25,0.177018595569672,230.33999633789062,229.91926055908203
ADI,2024-06-26,7.492904616449095,227.83999633789062,230.57731338500977
ADI,2024-06-27,13.56251449471111,226.67999267578125,230.362724609375
ADI,2024-06-28,15.305061797410362,228.25999450683594,232.1721629333496
ADI,2024-07-01,20.696293647589577,225.17999267578125,229.72931060791015
ADI,2024-07-02,1.3033938352950072,228.24000549316406,229.3816682434082
ADI,2024-07-03,0.17640871592798293,230.02000427246094,229.59999389648436
ADM,2024-06-25,1.9817201518199,60.650001525878906,62.05773735046387
ADM,2024-06-26,0.012213308770028353,60.66999816894531,60.78051200866699
ADM,2024-06-27,0.03573885940946585,60.61000061035156,60.420953369140626
ADM,2024-06-28,1.465179184388455,60.45000076293945,61.660446624755856
ADM,2024-07-01,0.008143158074132533,60.63999938964844,60.7302388381958
ADM,2024-07-02,1.5997515479336981,62.130001068115234,60.86518821716309
ADM,2024-07-03,0.8926644033217432,62.689998626708984,61.74518943786621
ADP,2024-06-25,0.31935346903839,248.39999389648438,247.83488021850587
